Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Target_Action_Level
37,16,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,16,2.0,3.0,2.5,0
37,16,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,2.0,3.0,2.5,1
38,8,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,5.0,6.0,5.5,1
38,8,1,1,0,1,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5.0,6.0,5.5,1
38,8,1,1,0,1,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,5.0,6.0,5.5,0
38,14,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,6.0,6.0,6.0,1
38,14,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,6.0,6.0,6.0,0
38,14,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15,6.0,6.0,6.0,1
38,16,1,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,2.0,3.0,2.5,1
38,16,1,2,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16,2.0,3.0,2.5,0
39,7,1,1,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16.0,20.0,18.0,1
39,7,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,16.0,20.0,18.0,1
39,7,1,1,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16.0,20.0,18.0,0
39,10,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1.0,1.0,1.0,1
39,10,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,1.0,1.0,1.0,0
39,10,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,1.0,1.0,1.0,1
39,15,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,16,2.0,4.0,3.0,1
39,15,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,16,2.0,4.0,3.0,1
39,15,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,16,2.0,4.0,3.0,0
39,16,1,1,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3.0,4.0,3.5,1
39,16,1,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,16,3.0,4.0,3.5,0
