,Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Action Anticipation (Respon based on LIK codes)
1287,48,18,1,1,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,2.0,2.0,2,Wn-7: Be careful
1288,48,18,1,1,0,3,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2.0,2.0,2,Wn-10: Be careful
1289,48,18,1,1,0,3,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15,1.0,1.0,1,Wn- 17: Be careful
1294,48,21,1,3,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,21,3.0,3.0,3,Wn-7: Be careful
1295,48,21,1,3,1,3,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,21,3.0,3.0,3,Wn13: Adjust fishing time
1296,48,21,1,3,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,5.0,5.0,5,Wn-7: Be careful
1297,48,21,1,3,1,3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,5.0,5.0,5,Wn13: Adjust fishing time
1300,48,22,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,2.0,2.0,2,Wn-7: Stay alert/retrieve fishing gear
1301,48,22,1,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,4.0,4.0,4,Wn-9: Adjust fishing time
1306,48,22,1,2,0,3,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1307,48,22,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,2.0,2.0,2,Wn-7: Be careful
1310,48,22,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,22,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1311,48,22,1,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,22,3.0,3.0,3,Wn-9: Adjust fishing time
1314,48,23,1,1,0,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,23,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1315,48,23,1,1,0,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,3.0,3.0,3,Wn-13: Be careful
1318,49,16,1,1,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,2.0,2.0,2,Wn-9: Be careful
